Raw,Left 50,No %,,Address,Percent,Amount, ,ID,Amount,Cumulative %,Pareto,all,$10 or more,$50 or more,$100 or more
0x012430f934BC381d9F59a28EA34363bCE170353D51.72283673920947281 MobLP 0.0184%,0x012430f934BC381d9F59a28EA34363bCE170353D51.72283,0x012430f934BC381d9F59a28EA34363bCE170353D51.72283673920947281 MobLP 0.0184, ,0x012430f934BC381d9F59a28EA34363bCE170353D, 0.0184,51.72283, ,167,51.72283,98.63,,23.93%,53.18%,98.82%,
0xFe6013250C6D2e3b4203491298c4AB40A40E773d50.749467317168028265 MobLP 0.0181%,0xFe6013250C6D2e3b4203491298c4AB40A40E773d50.74946,0xFe6013250C6D2e3b4203491298c4AB40A40E773d50.749467317168028265 MobLP 0.0181, ,0xFe6013250C6D2e3b4203491298c4AB40A40E773d, 0.0181,50.74946, ,168,50.74946,98.65,,24.07%,53.50%,99.41%,
0xE7573D7115f42cD53B3e8905493c3B50f26F84d450.701404034887592447 MobLP 0.0180%,0xE7573D7115f42cD53B3e8905493c3B50f26F84d450.70140,0xE7573D7115f42cD53B3e8905493c3B50f26F84d450.701404034887592447 MobLP 0.0180, ,0xE7573D7115f42cD53B3e8905493c3B50f26F84d4, 0.0180,50.70140, ,169,50.7014,98.66,,24.21%,53.82%,100.00%,
0xa96c35B7C13a33F316b2284897910ee99751E9c848.249500004278698714 MobLP 0.0172%,0xa96c35B7C13a33F316b2284897910ee99751E9c848.24950,0xa96c35B7C13a33F316b2284897910ee99751E9c848.249500004278698714 MobLP 0.0172, ,0xa96c35B7C13a33F316b2284897910ee99751E9c8, 0.0172,48.24950, ,170,48.2495,98.68,,24.36%,54.14%,,
0xfc0572C09F808d03B700Ed2eb41ACceD9f3ceDE548.222885516067068749 MobLP 0.0172%,0xfc0572C09F808d03B700Ed2eb41ACceD9f3ceDE548.22288,0xfc0572C09F808d03B700Ed2eb41ACceD9f3ceDE548.222885516067068749 MobLP 0.0172, ,0xfc0572C09F808d03B700Ed2eb41ACceD9f3ceDE5, 0.0172,48.22288, ,171,48.22288,98.70,,24.50%,54.46%,,
0x4b2F13B566E5B9A4c5229b1E3f6058858853a85748.170257275346103344 MobLP 0.0171%,0x4b2F13B566E5B9A4c5229b1E3f6058858853a85748.17025,0x4b2F13B566E5B9A4c5229b1E3f6058858853a85748.170257275346103344 MobLP 0.0171, ,0x4b2F13B566E5B9A4c5229b1E3f6058858853a857, 0.0171,48.17025, ,172,48.17025,98.72,,24.64%,54.78%,,
0xf8A9Ec4d9223b420AAb0B7de3f2dDeFF16fF9b6d47.981489623777105474 MobLP 0.0171%,0xf8A9Ec4d9223b420AAb0B7de3f2dDeFF16fF9b6d47.98148,0xf8A9Ec4d9223b420AAb0B7de3f2dDeFF16fF9b6d47.981489623777105474 MobLP 0.0171, ,0xf8A9Ec4d9223b420AAb0B7de3f2dDeFF16fF9b6d, 0.0171,47.98148, ,173,47.98148,98.73,,24.79%,55.10%,,
0xe2646f96A4BC43DA01e554352Eba09AF954a7EC647.921854468875034174 MobLP 0.0171%,0xe2646f96A4BC43DA01e554352Eba09AF954a7EC647.92185,0xe2646f96A4BC43DA01e554352Eba09AF954a7EC647.921854468875034174 MobLP 0.0171, ,0xe2646f96A4BC43DA01e554352Eba09AF954a7EC6, 0.0171,47.92185, ,174,47.92185,98.75,,24.93%,55.41%,,
0xFf71729ad1cB79Fc30000A04b84fcA27C6cb0E8447.659770139666703516 MobLP 0.0170%,0xFf71729ad1cB79Fc30000A04b84fcA27C6cb0E8447.65977,0xFf71729ad1cB79Fc30000A04b84fcA27C6cb0E8447.659770139666703516 MobLP 0.0170, ,0xFf71729ad1cB79Fc30000A04b84fcA27C6cb0E84, 0.0170,47.65977, ,175,47.65977,98.77,,25.07%,55.73%,,
0x63C0A620718aa2d1d2DBB192b35037E5977ca30747.068949612175010133 MobLP 0.0167%,0x63C0A620718aa2d1d2DBB192b35037E5977ca30747.06894,0x63C0A620718aa2d1d2DBB192b35037E5977ca30747.068949612175010133 MobLP 0.0167, ,0x63C0A620718aa2d1d2DBB192b35037E5977ca307, 0.0167,47.06894, ,176,47.06894,98.78,,25.21%,56.05%,,
0x34Cae1F717e4a5A485DbeD00c43Af14Fd6b4641346.94061321420161405 MobLP 0.0167%,0x34Cae1F717e4a5A485DbeD00c43Af14Fd6b4641346.94061,0x34Cae1F717e4a5A485DbeD00c43Af14Fd6b4641346.94061321420161405 MobLP 0.0167, ,0x34Cae1F717e4a5A485DbeD00c43Af14Fd6b46413, 0.0167,46.94061, ,177,46.94061,98.80,,25.36%,56.37%,,
0xB76aC0804C2beaC2081c66e77c89C0Df5503C03546.068849770901966725 MobLP 0.0164%,0xB76aC0804C2beaC2081c66e77c89C0Df5503C03546.06884,0xB76aC0804C2beaC2081c66e77c89C0Df5503C03546.068849770901966725 MobLP 0.0164, ,0xB76aC0804C2beaC2081c66e77c89C0Df5503C035, 0.0164,46.06884, ,178,46.06884,98.82,,25.50%,56.69%,,
0x20Ce4e71F9D269a60f8945615d94312503549a7d45.70372562778830351 MobLP 0.0163%,0x20Ce4e71F9D269a60f8945615d94312503549a7d45.70372,0x20Ce4e71F9D269a60f8945615d94312503549a7d45.70372562778830351 MobLP 0.0163, ,0x20Ce4e71F9D269a60f8945615d94312503549a7d, 0.0163,45.70372, ,179,45.70372,98.83,,25.64%,57.01%,,
0x4Eb8f33d35D85cE5653707434bf35AAeDf8f501F45.064703139305877535 MobLP 0.0160%,0x4Eb8f33d35D85cE5653707434bf35AAeDf8f501F45.06470,0x4Eb8f33d35D85cE5653707434bf35AAeDf8f501F45.064703139305877535 MobLP 0.0160, ,0x4Eb8f33d35D85cE5653707434bf35AAeDf8f501F, 0.0160,45.06470, ,180,45.0647,98.85,,25.79%,57.32%,,
0x147fff064529012B70427D944a4a19C90398a64d45.064224992758632903 MobLP 0.0160%,0x147fff064529012B70427D944a4a19C90398a64d45.06422,0x147fff064529012B70427D944a4a19C90398a64d45.064224992758632903 MobLP 0.0160, ,0x147fff064529012B70427D944a4a19C90398a64d, 0.0160,45.06422, ,181,45.06422,98.87,,25.93%,57.64%,,
0x6D8C27D964EcCb317b435D7895E0A89318EaEa9645.06374831635727841 MobLP 0.0160%,0x6D8C27D964EcCb317b435D7895E0A89318EaEa9645.06374,0x6D8C27D964EcCb317b435D7895E0A89318EaEa9645.06374831635727841 MobLP 0.0160, ,0x6D8C27D964EcCb317b435D7895E0A89318EaEa96, 0.0160,45.06374, ,182,45.06374,98.88,,26.07%,57.96%,,
0x08b99223d27E5895645491b25F87AD592AF5e21F45.062316850292277396 MobLP 0.0160%,0x08b99223d27E5895645491b25F87AD592AF5e21F45.06231,0x08b99223d27E5895645491b25F87AD592AF5e21F45.062316850292277396 MobLP 0.0160, ,0x08b99223d27E5895645491b25F87AD592AF5e21F, 0.0160,45.06231, ,183,45.06231,98.90,,26.22%,58.28%,,
0x3f3c5E7114a142a02aA3f15C8F3BAF38de5258bB44.964418875226386142 MobLP 0.0160%,0x3f3c5E7114a142a02aA3f15C8F3BAF38de5258bB44.96441,0x3f3c5E7114a142a02aA3f15C8F3BAF38de5258bB44.964418875226386142 MobLP 0.0160, ,0x3f3c5E7114a142a02aA3f15C8F3BAF38de5258bB, 0.0160,44.96441, ,184,44.96441,98.91,,26.36%,58.60%,,
0xBF765A59f2F5C56903028a29D4EB6Cc47afe603F44.838457431967036639 MobLP 0.0160%,0xBF765A59f2F5C56903028a29D4EB6Cc47afe603F44.83845,0xBF765A59f2F5C56903028a29D4EB6Cc47afe603F44.838457431967036639 MobLP 0.0160, ,0xBF765A59f2F5C56903028a29D4EB6Cc47afe603F, 0.0160,44.83845, ,185,44.83845,98.93,,26.50%,58.92%,,
0xA7AB8d44b3561fF1a5eF70DC4026493C5aE018B242.66746886218631721 MobLP 0.0152%,0xA7AB8d44b3561fF1a5eF70DC4026493C5aE018B242.66746,0xA7AB8d44b3561fF1a5eF70DC4026493C5aE018B242.66746886218631721 MobLP 0.0152, ,0xA7AB8d44b3561fF1a5eF70DC4026493C5aE018B2, 0.0152,42.66746, ,186,42.66746,98.94,,26.65%,59.24%,,
0x2BCA8861f64761846bdE0169c4EfAfCcB0Cd6F3b40.864619620523216523 MobLP 0.0145%,0x2BCA8861f64761846bdE0169c4EfAfCcB0Cd6F3b40.86461,0x2BCA8861f64761846bdE0169c4EfAfCcB0Cd6F3b40.864619620523216523 MobLP 0.0145, ,0x2BCA8861f64761846bdE0169c4EfAfCcB0Cd6F3b, 0.0145,40.86461, ,187,40.86461,98.96,,26.79%,59.55%,,
0x6F5258D9298c365155974b7a3617890Fb57E585240.398548791132627966 MobLP 0.0144%,0x6F5258D9298c365155974b7a3617890Fb57E585240.39854,0x6F5258D9298c365155974b7a3617890Fb57E585240.398548791132627966 MobLP 0.0144, ,0x6F5258D9298c365155974b7a3617890Fb57E5852, 0.0144,40.39854, ,188,40.39854,98.97,,26.93%,59.87%,,
0x0a539e25e86A3693f7DDCc0fb1E8aB3e38441E5440.21565712068506497 MobLP 0.0143%,0x0a539e25e86A3693f7DDCc0fb1E8aB3e38441E5440.21565,0x0a539e25e86A3693f7DDCc0fb1E8aB3e38441E5440.21565712068506497 MobLP 0.0143, ,0x0a539e25e86A3693f7DDCc0fb1E8aB3e38441E54, 0.0143,40.21565, ,189,40.21565,98.99,,27.08%,60.19%,,
0x2Df45A043D2595024609db42a977C796d075607640.058076943355654073 MobLP 0.0143%,0x2Df45A043D2595024609db42a977C796d075607640.05807,0x2Df45A043D2595024609db42a977C796d075607640.058076943355654073 MobLP 0.0143, ,0x2Df45A043D2595024609db42a977C796d0756076, 0.0143,40.05807, ,190,40.05807,99.00,,27.22%,60.51%,,
0x487b0C67922a4a5bCbf2EC77b752951402cBB6AF33.99115185631394124 MobLP 0.0121%,0x487b0C67922a4a5bCbf2EC77b752951402cBB6AF33.99115,0x487b0C67922a4a5bCbf2EC77b752951402cBB6AF33.99115185631394124 MobLP 0.0121, ,0x487b0C67922a4a5bCbf2EC77b752951402cBB6AF, 0.0121,33.99115, ,191,33.99115,99.01,,27.36%,60.83%,,
0x7C1C54F3F8AB1A4B44b1861E719229C9eC94826831.978268220316966969 MobLP 0.0114%,0x7C1C54F3F8AB1A4B44b1861E719229C9eC94826831.97826,0x7C1C54F3F8AB1A4B44b1861E719229C9eC94826831.978268220316966969 MobLP 0.0114, ,0x7C1C54F3F8AB1A4B44b1861E719229C9eC948268, 0.0114,31.97826, ,192,31.97826,99.03,,27.51%,61.15%,,
0x69d5F8e1C2b8982A17F893f2658f3adB6a14929b30.034578879245740195 MobLP 0.0107%,0x69d5F8e1C2b8982A17F893f2658f3adB6a14929b30.03457,0x69d5F8e1C2b8982A17F893f2658f3adB6a14929b30.034578879245740195 MobLP 0.0107, ,0x69d5F8e1C2b8982A17F893f2658f3adB6a14929b, 0.0107,30.03457, ,193,30.03457,99.04,,27.65%,61.46%,,
0xB74BA6aE0c780c4665E6652Cb9b088d584d8bE4c29.446386651785934065 MobLP 0.0105%,0xB74BA6aE0c780c4665E6652Cb9b088d584d8bE4c29.44638,0xB74BA6aE0c780c4665E6652Cb9b088d584d8bE4c29.446386651785934065 MobLP 0.0105, ,0xB74BA6aE0c780c4665E6652Cb9b088d584d8bE4c, 0.0105,29.44638, ,194,29.44638,99.05,,27.79%,61.78%,,
0x515ed2e17413280f4E9D94d62D796ca52C77E6FC27.937329322484342605 MobLP 0.0099%,0x515ed2e17413280f4E9D94d62D796ca52C77E6FC27.93732,0x515ed2e17413280f4E9D94d62D796ca52C77E6FC27.937329322484342605 MobLP 0.0099, ,0x515ed2e17413280f4E9D94d62D796ca52C77E6FC, 0.0099,27.93732, ,195,27.93732,99.06,,27.94%,62.10%,,
0x9692856aB1778C4a57BBf392598e7892A9Bd1A7b27.894333135773058532 MobLP 0.0099%,0x9692856aB1778C4a57BBf392598e7892A9Bd1A7b27.89433,0x9692856aB1778C4a57BBf392598e7892A9Bd1A7b27.894333135773058532 MobLP 0.0099, ,0x9692856aB1778C4a57BBf392598e7892A9Bd1A7b, 0.0099,27.89433, ,196,27.89433,99.07,,28.08%,62.42%,,
0x7b1A3F1A6b73ce075Dc48A5b14642B838c59947527.231453430602447894 MobLP 0.0097%,0x7b1A3F1A6b73ce075Dc48A5b14642B838c59947527.23145,0x7b1A3F1A6b73ce075Dc48A5b14642B838c59947527.231453430602447894 MobLP 0.0097, ,0x7b1A3F1A6b73ce075Dc48A5b14642B838c599475, 0.0097,27.23145, ,197,27.23145,99.08,,28.22%,62.74%,,
0xe7e199A59Ec9C991DfCb74a0110Cb244E57b216a26.095787306772116238 MobLP 0.0093%,0xe7e199A59Ec9C991DfCb74a0110Cb244E57b216a26.09578,0xe7e199A59Ec9C991DfCb74a0110Cb244E57b216a26.095787306772116238 MobLP 0.0093, ,0xe7e199A59Ec9C991DfCb74a0110Cb244E57b216a, 0.0093,26.09578, ,198,26.09578,99.09,,28.37%,63.06%,,
0x338554EFB1b70200CbCA63833aC1Af542c5C43F125.33624464000420549 MobLP 0.0090%,0x338554EFB1b70200CbCA63833aC1Af542c5C43F125.33624,0x338554EFB1b70200CbCA63833aC1Af542c5C43F125.33624464000420549 MobLP 0.0090, ,0x338554EFB1b70200CbCA63833aC1Af542c5C43F1, 0.0090,25.33624, ,199,25.33624,99.09,,28.51%,63.38%,,
0xF45605e25C2494896f3e19A6D1bc59724c63BA2625.259331409527817441 MobLP 0.0090%,0xF45605e25C2494896f3e19A6D1bc59724c63BA2625.25933,0xF45605e25C2494896f3e19A6D1bc59724c63BA2625.259331409527817441 MobLP 0.0090, ,0xF45605e25C2494896f3e19A6D1bc59724c63BA26, 0.0090,25.25933, ,200,25.25933,99.10,,28.65%,63.69%,,
0x0bE8ffE44bE281708A7DDe13Af68120fD4c974ea24.995505583568397865 MobLP 0.0089%,0x0bE8ffE44bE281708A7DDe13Af68120fD4c974ea24.99550,0x0bE8ffE44bE281708A7DDe13Af68120fD4c974ea24.995505583568397865 MobLP 0.0089, ,0x0bE8ffE44bE281708A7DDe13Af68120fD4c974ea, 0.0089,24.99550, ,201,24.9955,99.11,,28.80%,64.01%,,
0xe3a2A53E6BC71Bc5Ec34313b5aa783F4733bC41924.73923177992548951 MobLP 0.0088%,0xe3a2A53E6BC71Bc5Ec34313b5aa783F4733bC41924.73923,0xe3a2A53E6BC71Bc5Ec34313b5aa783F4733bC41924.73923177992548951 MobLP 0.0088, ,0xe3a2A53E6BC71Bc5Ec34313b5aa783F4733bC419, 0.0088,24.73923, ,202,24.73923,99.12,,28.94%,64.33%,,
0x9e0B0923e60C234567a8FE8a11452fD9e223Db7523.856302657656396614 MobLP 0.0085%,0x9e0B0923e60C234567a8FE8a11452fD9e223Db7523.85630,0x9e0B0923e60C234567a8FE8a11452fD9e223Db7523.856302657656396614 MobLP 0.0085, ,0x9e0B0923e60C234567a8FE8a11452fD9e223Db75, 0.0085,23.85630, ,203,23.8563,99.13,,29.08%,64.65%,,
0xF2943ee31c7efd0C84fE15401c25967167bfE84B20.832798383574700459 MobLP 0.0074%,0xF2943ee31c7efd0C84fE15401c25967167bfE84B20.83279,0xF2943ee31c7efd0C84fE15401c25967167bfE84B20.832798383574700459 MobLP 0.0074, ,0xF2943ee31c7efd0C84fE15401c25967167bfE84B, 0.0074,20.83279, ,204,20.83279,99.14,,29.23%,64.97%,,
0x508D4589ba566f94EdB89a4aB15466ee128dFfC320.325259009117900472 MobLP 0.0072%,0x508D4589ba566f94EdB89a4aB15466ee128dFfC320.32525,0x508D4589ba566f94EdB89a4aB15466ee128dFfC320.325259009117900472 MobLP 0.0072, ,0x508D4589ba566f94EdB89a4aB15466ee128dFfC3, 0.0072,20.32525, ,205,20.32525,99.14,,29.37%,65.29%,,
0xbB9103261DdAB65Ab6C737d29cECEcF4b4172de920.325134382498442019 MobLP 0.0072%,0xbB9103261DdAB65Ab6C737d29cECEcF4b4172de920.32513,0xbB9103261DdAB65Ab6C737d29cECEcF4b4172de920.325134382498442019 MobLP 0.0072, ,0xbB9103261DdAB65Ab6C737d29cECEcF4b4172de9, 0.0072,20.32513, ,206,20.32513,99.15,,29.51%,65.61%,,
0x90B5C0a0f414c7824D54802c5ab0c9Fb10Fb82d820.324799006424109968 MobLP 0.0072%,0x90B5C0a0f414c7824D54802c5ab0c9Fb10Fb82d820.32479,0x90B5C0a0f414c7824D54802c5ab0c9Fb10Fb82d820.324799006424109968 MobLP 0.0072, ,0x90B5C0a0f414c7824D54802c5ab0c9Fb10Fb82d8, 0.0072,20.32479, ,207,20.32479,99.16,,29.66%,65.92%,,
0xCBc0012dd50F9e3920D55EA25aa6a22104c1c9ca20.324548205687897297 MobLP 0.0072%,0xCBc0012dd50F9e3920D55EA25aa6a22104c1c9ca20.32454,0xCBc0012dd50F9e3920D55EA25aa6a22104c1c9ca20.324548205687897297 MobLP 0.0072, ,0xCBc0012dd50F9e3920D55EA25aa6a22104c1c9ca, 0.0072,20.32454, ,208,20.32454,99.17,,29.80%,66.24%,,
0x3a7F06E5e9521D7922e77a12AaF317244e30f79320.324171547667536046 MobLP 0.0072%,0x3a7F06E5e9521D7922e77a12AaF317244e30f79320.32417,0x3a7F06E5e9521D7922e77a12AaF317244e30f79320.324171547667536046 MobLP 0.0072, ,0x3a7F06E5e9521D7922e77a12AaF317244e30f793, 0.0072,20.32417, ,209,20.32417,99.17,,29.94%,66.56%,,
0xE592ec90df6b7E757d098f266Cf0bF7e372E12C620.32408923964893685 MobLP 0.0072%,0xE592ec90df6b7E757d098f266Cf0bF7e372E12C620.32408,0xE592ec90df6b7E757d098f266Cf0bF7e372E12C620.32408923964893685 MobLP 0.0072, ,0xE592ec90df6b7E757d098f266Cf0bF7e372E12C6, 0.0072,20.32408, ,210,20.32408,99.18,,30.09%,66.88%,,
0xBA06335BD9eA03fD5055998BCB0fA5E9203FC12C20.323796974263116755 MobLP 0.0072%,0xBA06335BD9eA03fD5055998BCB0fA5E9203FC12C20.32379,0xBA06335BD9eA03fD5055998BCB0fA5E9203FC12C20.323796974263116755 MobLP 0.0072, ,0xBA06335BD9eA03fD5055998BCB0fA5E9203FC12C, 0.0072,20.32379, ,211,20.32379,99.19,,30.23%,67.20%,,
0x14633eDFA70dbfd900af8c660E481368Bf015e7820.323630951778339424 MobLP 0.0072%,0x14633eDFA70dbfd900af8c660E481368Bf015e7820.32363,0x14633eDFA70dbfd900af8c660E481368Bf015e7820.323630951778339424 MobLP 0.0072, ,0x14633eDFA70dbfd900af8c660E481368Bf015e78, 0.0072,20.32363, ,212,20.32363,99.19,,30.37%,67.52%,,
0xD7051bA0E9eC3D9FaB1d41eECc6705D0C47dcf0020.32329712368757077 MobLP 0.0072%,0xD7051bA0E9eC3D9FaB1d41eECc6705D0C47dcf0020.32329,0xD7051bA0E9eC3D9FaB1d41eECc6705D0C47dcf0020.32329712368757077 MobLP 0.0072, ,0xD7051bA0E9eC3D9FaB1d41eECc6705D0C47dcf00, 0.0072,20.32329, ,213,20.32329,99.20,,30.52%,67.83%,,
0x63Eb8D18A06f24BD6C81C8116E73A6B44FBBeDd020.322922440544324576 MobLP 0.0072%,0x63Eb8D18A06f24BD6C81C8116E73A6B44FBBeDd020.32292,0x63Eb8D18A06f24BD6C81C8116E73A6B44FBBeDd020.322922440544324576 MobLP 0.0072, ,0x63Eb8D18A06f24BD6C81C8116E73A6B44FBBeDd0, 0.0072,20.32292, ,214,20.32292,99.21,,30.66%,68.15%,,
0x124d814F42f378ec8df4946AA11d4c6C60b0310220.322756704156302975 MobLP 0.0072%,0x124d814F42f378ec8df4946AA11d4c6C60b0310220.32275,0x124d814F42f378ec8df4946AA11d4c6C60b0310220.322756704156302975 MobLP 0.0072, ,0x124d814F42f378ec8df4946AA11d4c6C60b03102, 0.0072,20.32275, ,215,20.32275,99.22,,30.80%,68.47%,,
0x8550d21F146cC1efB0bCfC97dFc4446Ae10845A520.322465704355721073 MobLP 0.0072%,0x8550d21F146cC1efB0bCfC97dFc4446Ae10845A520.32246,0x8550d21F146cC1efB0bCfC97dFc4446Ae10845A520.322465704355721073 MobLP 0.0072, ,0x8550d21F146cC1efB0bCfC97dFc4446Ae10845A5, 0.0072,20.32246, ,216,20.32246,99.22,,30.95%,68.79%,,
0xC0434F31b1F4ABa472a73E6D125ce72C1427a3dA20.314602155586960315 MobLP 0.0072%,0xC0434F31b1F4ABa472a73E6D125ce72C1427a3dA20.31460,0xC0434F31b1F4ABa472a73E6D125ce72C1427a3dA20.314602155586960315 MobLP 0.0072, ,0xC0434F31b1F4ABa472a73E6D125ce72C1427a3dA, 0.0072,20.31460, ,217,20.3146,99.23,,31.09%,69.11%,,
0x405e18D418fF1f07B54aD9D9FFcE69118C56Ce1c20.302553139321122385 MobLP 0.0072%,0x405e18D418fF1f07B54aD9D9FFcE69118C56Ce1c20.30255,0x405e18D418fF1f07B54aD9D9FFcE69118C56Ce1c20.302553139321122385 MobLP 0.0072, ,0x405e18D418fF1f07B54aD9D9FFcE69118C56Ce1c, 0.0072,20.30255, ,218,20.30255,99.24,,31.23%,69.43%,,
0x9AB8e1f35728B5bF9397761E868a7573704a081c20.098346506951286267 MobLP 0.0072%,0x9AB8e1f35728B5bF9397761E868a7573704a081c20.09834,0x9AB8e1f35728B5bF9397761E868a7573704a081c20.098346506951286267 MobLP 0.0072, ,0x9AB8e1f35728B5bF9397761E868a7573704a081c, 0.0072,20.09834, ,219,20.09834,99.24,,31.38%,69.75%,,
0x6fC915b7228d757c9A3C8fEB099E0909Fb00855D20.031611347378244192 MobLP 0.0071%,0x6fC915b7228d757c9A3C8fEB099E0909Fb00855D20.03161,0x6fC915b7228d757c9A3C8fEB099E0909Fb00855D20.031611347378244192 MobLP 0.0071, ,0x6fC915b7228d757c9A3C8fEB099E0909Fb00855D, 0.0071,20.03161, ,220,20.03161,99.25,,31.52%,70.06%,,
0x7F874418ef91182952FEe601F4A93369F3F1e7e120.029820624808726019 MobLP 0.0071%,0x7F874418ef91182952FEe601F4A93369F3F1e7e120.02982,0x7F874418ef91182952FEe601F4A93369F3F1e7e120.029820624808726019 MobLP 0.0071, ,0x7F874418ef91182952FEe601F4A93369F3F1e7e1, 0.0071,20.02982, ,221,20.02982,99.26,,31.66%,70.38%,,
0x29c7580BeBb7222E05cB5c46Cd63724A35D3D11720.029198350871132693 MobLP 0.0071%,0x29c7580BeBb7222E05cB5c46Cd63724A35D3D11720.02919,0x29c7580BeBb7222E05cB5c46Cd63724A35D3D11720.029198350871132693 MobLP 0.0071, ,0x29c7580BeBb7222E05cB5c46Cd63724A35D3D117, 0.0071,20.02919, ,222,20.02919,99.27,,31.81%,70.70%,,
0x03A81442B06C71f0b5850286DC36F99C6F44989220.022386542099774976 MobLP 0.0071%,0x03A81442B06C71f0b5850286DC36F99C6F44989220.02238,0x03A81442B06C71f0b5850286DC36F99C6F44989220.022386542099774976 MobLP 0.0071, ,0x03A81442B06C71f0b5850286DC36F99C6F449892, 0.0071,20.02238, ,223,20.02238,99.27,,31.95%,71.02%,,
0x588ffCAA70A489402143561D5a309848Dc63C0ef20.020082235512560109 MobLP 0.0071%,0x588ffCAA70A489402143561D5a309848Dc63C0ef20.02008,0x588ffCAA70A489402143561D5a309848Dc63C0ef20.020082235512560109 MobLP 0.0071, ,0x588ffCAA70A489402143561D5a309848Dc63C0ef, 0.0071,20.02008, ,224,20.02008,99.28,,32.09%,71.34%,,
0x5d2906317e897e1C7DF42DEA4601b1DadDF6DD6319.981115814756737458 MobLP 0.0071%,0x5d2906317e897e1C7DF42DEA4601b1DadDF6DD6319.98111,0x5d2906317e897e1C7DF42DEA4601b1DadDF6DD6319.981115814756737458 MobLP 0.0071, ,0x5d2906317e897e1C7DF42DEA4601b1DadDF6DD63, 0.0071,19.98111, ,225,19.98111,99.29,,32.23%,71.66%,,
0xB7F51aD220953d56908F8a0c50f64e3851F5c84819.928291511410849477 MobLP 0.0071%,0xB7F51aD220953d56908F8a0c50f64e3851F5c84819.92829,0xB7F51aD220953d56908F8a0c50f64e3851F5c84819.928291511410849477 MobLP 0.0071, ,0xB7F51aD220953d56908F8a0c50f64e3851F5c848, 0.0071,19.92829, ,226,19.92829,99.29,,32.38%,71.97%,,
0x02A9cE87f684F8f9B02cDd7db607480c9e5bb36C19.917566042908803488 MobLP 0.0071%,0x02A9cE87f684F8f9B02cDd7db607480c9e5bb36C19.91756,0x02A9cE87f684F8f9B02cDd7db607480c9e5bb36C19.917566042908803488 MobLP 0.0071, ,0x02A9cE87f684F8f9B02cDd7db607480c9e5bb36C, 0.0071,19.91756, ,227,19.91756,99.30,,32.52%,72.29%,,
0x7cBE8cCC48E754f498971bCf9c7CE3fa21BE5Fbf19.900879682915159106 MobLP 0.0071%,0x7cBE8cCC48E754f498971bCf9c7CE3fa21BE5Fbf19.90087,0x7cBE8cCC48E754f498971bCf9c7CE3fa21BE5Fbf19.900879682915159106 MobLP 0.0071, ,0x7cBE8cCC48E754f498971bCf9c7CE3fa21BE5Fbf, 0.0071,19.90087, ,228,19.90087,99.31,,32.66%,72.61%,,
0x9a8B83341E8c61e62BD46d371F86f548A0553E0A19.883142713834957769 MobLP 0.0071%,0x9a8B83341E8c61e62BD46d371F86f548A0553E0A19.88314,0x9a8B83341E8c61e62BD46d371F86f548A0553E0A19.883142713834957769 MobLP 0.0071, ,0x9a8B83341E8c61e62BD46d371F86f548A0553E0A, 0.0071,19.88314, ,229,19.88314,99.32,,32.81%,72.93%,,
0x12307bCE1438923703C7Aa09864dD77166732b6e19.879805439074536869 MobLP 0.0071%,0x12307bCE1438923703C7Aa09864dD77166732b6e19.87980,0x12307bCE1438923703C7Aa09864dD77166732b6e19.879805439074536869 MobLP 0.0071, ,0x12307bCE1438923703C7Aa09864dD77166732b6e, 0.0071,19.87980, ,230,19.8798,99.32,,32.95%,73.25%,,
0xB671fCA220D99876f5AB44195D540b7B5A7D3F5919.028029148641330932 MobLP 0.0068%,0xB671fCA220D99876f5AB44195D540b7B5A7D3F5919.02802,0xB671fCA220D99876f5AB44195D540b7B5A7D3F5919.028029148641330932 MobLP 0.0068, ,0xB671fCA220D99876f5AB44195D540b7B5A7D3F59, 0.0068,19.02802, ,231,19.02802,99.33,,33.09%,73.57%,,
0xd41bcfaa99cABfF1A5f4310b591C92cc55CFfA8d19.027838656356823603 MobLP 0.0068%,0xd41bcfaa99cABfF1A5f4310b591C92cc55CFfA8d19.02783,0xd41bcfaa99cABfF1A5f4310b591C92cc55CFfA8d19.027838656356823603 MobLP 0.0068, ,0xd41bcfaa99cABfF1A5f4310b591C92cc55CFfA8d, 0.0068,19.02783, ,232,19.02783,99.34,,33.24%,73.89%,,
0x99a9E732A4Bd058eD36cB1BCDef58809D0baa99818.13705874241783607 MobLP 0.0065%,0x99a9E732A4Bd058eD36cB1BCDef58809D0baa99818.13705,0x99a9E732A4Bd058eD36cB1BCDef58809D0baa99818.13705874241783607 MobLP 0.0065, ,0x99a9E732A4Bd058eD36cB1BCDef58809D0baa998, 0.0065,18.13705, ,233,18.13705,99.34,,33.38%,74.20%,,
0x9961940921F734c5f563ea0C4f594977c7D1b06318.026931712039237015 MobLP 0.0064%,0x9961940921F734c5f563ea0C4f594977c7D1b06318.02693,0x9961940921F734c5f563ea0C4f594977c7D1b06318.026931712039237015 MobLP 0.0064, ,0x9961940921F734c5f563ea0C4f594977c7D1b063, 0.0064,18.02693, ,234,18.02693,99.35,,33.52%,74.52%,,
